TestDescription,Unit,Value,Component
538740_FR_Cap_Sensor_Data_Ckt  Fdb, Dec,1023,R5107
538570_FR_Cap_Sensor_Data_Ckt  Fdb, Dec,64,R5107
CAUSER,  ,29,R6803
505750_[J4-22]RL_CAP_SENSOR_DATA_C, mV,4747.,R6803
7_Read_LB2, P/F,1,R6803
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
CAUSER,  ,29,D211
112_[J2-19]Hazard_CktFdbkOff, Dec,0,D211
116_[J2-2]HLSW_Park_CktFdbkOff, Dec,0,R307
CAUSER,  ,29,R274
126_[J6-14]Hood_Ajar_CktFdbkOff, Dec,0,R274
CAUSER,  ,29,D211
112_[J2-19]Hazard_CktFdbkOff, Dec,0,D211
CAUSER,  ,29,R307
116_[J2-2]HLSW_Park_CktFdbkOff, Dec,0,R307
510990_AI_VBATT_SW1_FDBK On, Dec,1,R2311
510990_AI_VBATT_SW1_FDBK On, Dec,1,R2311
Pass or Fail for the unit from Viscom,  ,1,R2311
A2C01128300,  ,99,R2311
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
502510_[J2-24]Autolamp_Sensor_Inpu, Dec,0,R2002
502520_[J2-24]Autolamp_Sensor_Inpu, Dec,0,R2002
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
316_[J5-49]ENS_Signal_CktFrequency, Dec,9.999,D2000
317_[J5-49]ENS_Signal_CktDC, Dec,9.999,D2000
511650_Clutch_Input_Ckt  Active, hex,0,T2100
337_[J5-49]ENS_Signal_CktFrequency, Dec,9999,D2000
CAUSER,  ,29,D203
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
CAUSER,  ,29,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
CAUSER,  ,29,D203
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
7_Read_LB2, P/F,1,D203
505700_DS_RL _CAP_SEN_DATA Off Sta, Dec,1023,R6954
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.29,D4009
126_[J5-46]LR_Door_Ajar_CktFdbkOn, Dec,1,D207
126_[J5-46]LR_Door_Ajar_CktFdbkOn, Dec,1,D207
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.29,D4009
7_Read_LB2, P/F,1,D4009
7_Read_LB2, P/F,1,D4009
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
93_[J2-25]LinCommICMLX80001(LIN2), Dec,0,V700
74_[J2-25]LinCommICMLX80001(LIN2), Dec,0,V700
96_[J5-37]LIN4, Dec,0,V700
77_[J5-37]LIN4, Dec,0,V700
88_Scan_Pulse_FDBK3FdbkOn, Dec,0,V700
469_[J7-6]RF_High_Beam_CktVoltage, V,.0030,D6113
680_Read_LHH_LIMP Fdbk, Dec,40960,D6113
479_[J7-6]RF_High_Beam_CktVoltage, V,-.001,D6113
340_Initialize_SI_registers, Dec,240,D6009
340_Initialize_SI_registers, Dec,240,D6009
516_[J6-23]PP_Relay_Set_Ckt On, Dec,13469,V6001
516_[J6-23]PP_Relay_Set_Ckt On, Dec,13469,V6001
107_Scan_Pulse_FDBK3FdbkOn, Dec,0,V700
88_Scan_Pulse_FDBK3FdbkOn, Dec,0,V700
79_Upload EOL ToolBox, Dec,-1,V6006
44_12V Dual 2 SHS, V,8.096,V6006
44_12V Dual 2 SHS, V,7.984,V6006
88_Scan_Pulse_FDBK3FdbkOn, Dec,0,T101
198_[J2-41]ALM_Dim_Up_CktFdbkOff, Dec,0,T101
R2408,O,116.8,T5202
538810_RL_Cap_Sensor_Data_Ckt  Vol, V,-.000,T5202
538810_RL_Cap_Sensor_Data_Ckt  Vol, V,-.001,T5202
145_[J6-14]Hood_Ajar_CktFdbkOff, Dec,0,R274
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.25,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.29,D4009
102_PulseScan1FdbkOn, Dec,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,T201
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
159_[J5-47]Park_Brake_CktFdbkOn, Dec,1,D205
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
781_Write_Key_Code_Card_Number, P/F,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
C2009,-,109.2,T202
C2009,-,101.6,T202
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
781_Write_Key_Code_Card_Number, P/F,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
5_MPC560_ContactMCU, P/F,0,V700
5_MPC560_ContactMCU, P/F,0,V700
5_MPC560_ContactMCU, P/F,0,V700
125_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
340_[J6-29]Fuel_Pump_On_CktVoltage, V,.0480,T5000
503050_[J6-29]Fuel_Pump_On_CktVolt, V,.0445,T5000
505750_[J4-22]RL_CAP_SENSOR_DATA_C, mA,4694.,R6803
140_[J5-29]RR_Door_Latch_Fdbk_CktF, Dec,0,R290
121_[J5-29]RR_Door_Latch_Fdbk_CktF, Dec,0,R290
781_Write_Key_Code_Card_Number, P/F,1,R290
140_[J5-29]RR_Door_Latch_Fdbk_CktF, Dec,0,R290
121_[J5-29]RR_Door_Latch_Fdbk_CktF, Dec,0,R290
469_[J7-6]RF_High_Beam_CktVoltage, V,12.94,R4069
481_[J7-5]RF_Fog_Lamp_CktVoltage O, V,.0638,R4069
481_[J7-5]RF_Fog_Lamp_CktVoltage O, V,.0641,R4069
505720_DS_TRNK_LG_CAP_SEN_DATA Off, Dec,34,R6008
112_[J2-19]Hazard_CktFdbkOff, Dec,0,D211
781_Write_Key_Code_Card_Number, P/F,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
498_[J6-20]Horn_Relay_Ctrl_CktVolt, mV,13484,D4009
498_[J6-20]Horn_Relay_Ctrl_CktVolt, mV,13482,D4009
112_[J2-19]Hazard_CktFdbkOff, Dec,0,D211
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
571_[J3-32]All_Door_UnLock_CktVolt, V,.0489,V5000
585_[J3-32]All_Door_UnLock_CktVolt, V,.0638,V5000
781_Write_Key_Code_Card_Number, P/F,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
CAUSER,  ,31,D212
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
R322_R4,O,12230,D212
R322_R4,O,11991,D212
R322_R4,O,11963,D212
7_Read_LB2, P/F,1,D212
59_ENTER EOL MODE AND INITIALIZAT, P/F,1,V6006
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,D203
118_[J5-46]InactivePulseScan1Fdbk, Dec,447,T200
118_[J5-46]InactivePulseScan1Fdbk, Dec,411,T200
273_Read Run Start Rel Ext FDBK OF, Dec,526,V700
273_Read Run Start Rel Ext FDBK OF, Dec,529,V700
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
468_[J7-11]LF_High_Beam_CktVoltage, V,-.001,D6112
468_[J7-11]LF_High_Beam_CktVoltage, V,-.001,D6112
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,D211
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
781_Write_Key_Code_Card_Number, P/F,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
665_[J4-30][J4-32]Prot Ant 1 P-P V, V,183.1,C6048
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.29,D4009
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
250_[J2-37]DIH_AHWU no stimulus, Dec,1,R288
J5_1_Y, =--m,-1,R288
J5_1_X, =--m,-1,R288
J5_14_Y, =--m,-1,R288
J5_14_X, =--m,-1,R288
125_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
102_PulseScan1FdbkOn, Dec,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,T201
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.29,D4009
123_[J5-19]RR_Door_Ajar_CktFdbkOff, Dec,0,R322
123_[J5-19]RR_Door_Ajar_CktFdbkOff, Dec,0,R322
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
505700_DS_RL _CAP_SEN_DATA Off Sta, Dec,1023,R6954
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol, V,13.29,D4009
B2CONA1_19,U,0,D4009
7_Read_LB2, P/F,1,D4009
504_[J6-23]PP_Relay_Set_Ckt On, mV,13497,V6001
516_[J6-23]PP_Relay_Set_Ckt On, Dec,13496,V6001
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
5_MPC560_ContactMCU, P/F,0,V700
5_MPC560_ContactMCU, P/F,0,V700
323_[J5-41]Discrete_VSPD_CktFreque, Hz,.2809,R4129
397_[J5-26]LR_Turn_Lamp_CktCurrent, Dec,1023,R4129
397_[J5-26]LR_Turn_Lamp_CktCurrent, Dec,1023,R4129
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
PIN 009, N,0,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
7_Read_LB2, P/F,1,D205
8_Compare_LBS, P/F,1,D205
159_[J5-47]Park_Brake_CktFdbkOn, Dec,1,D205
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
7_Read_LB2, P/F,1,D213
94_[J5-36]LinCommICMLX80001(LIN3), Dec,0,L102
75_[J5-36]LinCommICMLX80001(LIN3), Dec,0,L102
638_[J4-13][J4-28]Ext Ant1 P-P Vol, V,19.01,M6010
CAUSER,  ,2,M6010
643_[J4-13][J4-28]Ext Ant1 P-P Vol, V,13.19,M6010
R733,O,29674,M6010
R733,O,20104,M6010
643_[J4-13][J4-28]Ext Ant1 P-P Vol, V,12.70,M6010
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
757_[J6-7]Parkaid_Sensor_Power_Fro, V,.0040,D6017
758_[J6-7]Parkaid_Sensor_Power_Fro, V,.0337,D6017
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
112_[J2-19]Hazard_CktFdbkOff, Dec,0,D211
CAUSER,  ,29,C4103
94_[J5-36]LinCommICMLX80001(LIN3), Dec,0,C4103
78_[J5-38]LIN5CRT(TJA1021TK), Dec,0,C4103
78_[J5-38]LIN5CRT(TJA1021TK), Dec,0,C4103
78_[J5-38]LIN5CRT(TJA1021TK), Dec,0,C4103
75_[J5-36]LinCommICMLX80001(LIN3), Dec,0,C4103
C5041_C5042,  ,380.9,C5042
CAUSER,  ,29,C5042
537050_INT1_Antenna - read transpo, hex,0,C5042
537050_INT1_Antenna - read transpo, hex,0,C5042
121_PulseScan1FdbkOn, Dec,0,R348
102_PulseScan1FdbkOn, Dec,0,R348
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,R348
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
517360_Stop_Lamps_CHMSL_Ckt Curr F, Dec,4095,R3012
517400_LF_Low_Beam_Ckt Curr Fdbk O, Dec,4095,R3012
517460_Stop_Lamps_CHMSL_Ckt Curr F, Dec,4095,R3012
517480_Park_Lamps_Engine_Ckt Curr , Dec,4095,R3012
517500_LF_Low_Beam_Ckt Curr Fdbk O, Dec,4095,R3012
517530_Reverse_Lamp_Ckt Curr Fdbk , Dec,4095,R3012
517560_Park_Lamps_Engine_Ckt Curr , Dec,4095,R3012
517590_Reverse_Lamp_Ckt Curr Fdbk , Dec,4095,R3012
517360_Stop_Lamps_CHMSL_Ckt Curr F, Dec,4095,R3012
517400_LF_Low_Beam_Ckt Curr Fdbk O, Dec,4095,R3012
517460_Stop_Lamps_CHMSL_Ckt Curr F, Dec,4095,R3012
517480_Park_Lamps_Engine_Ckt Curr , Dec,4095,R3012
517500_LF_Low_Beam_Ckt Curr Fdbk O, Dec,4095,R3012
517530_Reverse_Lamp_Ckt Curr Fdbk , Dec,4095,R3012
517560_Park_Lamps_Engine_Ckt Curr , Dec,4095,R3012
517590_Reverse_Lamp_Ckt Curr Fdbk , Dec,4095,R3012
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
538750_FR_Cap_Sensor_Data_Ckt  Fre, Dec,0,C5049
538760_FR_Cap_Sensor_Data_Ckt  Wak, hex,0,C5049
538750_FR_Cap_Sensor_Data_Ckt  Fre, Dec,0,C5049
538760_FR_Cap_Sensor_Data_Ckt  Wak, hex,0,C5049
11_MS12X_Erase_Flash, P/F,0,V801
11_MS12X_Erase_Flash, P/F,0,V801
62_[J8][J3-06][J3-10]12V Reverse, V,4.914,L6001
44_12V Dual 2 SHS, V,7.349,L6001
93_[J2-25]LinCommICMLX80001(LIN2), Dec,0,R702
757_[J6-7]Parkaid_Sensor_Power_Fro, V,.0070,V801
758_[J6-7]Parkaid_Sensor_Power_Fro, V,.0393,V801
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
148_[J5-4]Door_Unlock_Switch_CktFd, Dec,0,R294
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
316_[J5-49]ENS_Signal_CktFrequency, Dec,9.999,D2000
317_[J5-49]ENS_Signal_CktDC, Dec,9.999,D2000
781_Write_Key_Code_Card_Number, P/F,1,D2000
CAUSER,  ,29,R5107
546150_Write Key Code Card Number, hex,1,R5107
538740_FR_Cap_Sensor_Data_Ckt  Fdb, Dec,1023,R5107
502070_[J2-7]Dimmer_Up_Input_CktFd, P/F,0,R2073
502070_[J2-7]Dimmer_Up_Input_CktFd, P/F,0,R2073
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
781_Write_Key_Code_Card_Number, P/F,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
489_[TLE7239]Read_Std_DiagPattern_, Dec,0,V700
489_[TLE7239]Read_Std_DiagPattern_, Dec,0,V700
489_[TLE7239]Read_Std_DiagPattern_, Dec,0,V700
CAUSER,  ,29,R2109
511110_HLSW_Headlamps_Ckt Inactive, hex,0,R2109
511260_HLSW_Park_Ckt Inactive, hex,0,R2109
511410_Hazard_Ckt Inactive, hex,0,R2109
511420_Hazard_Ckt Inactive with RU, hex,0,R2109
511650_Clutch_Input_Ckt  Active, hex,0,R2109
511870_Decklid_Liftglass_Switch_Ck, hex,0,R2109
512020_IP_Release_Switch_Ckt Inact, hex,0,R2109
512170_Horn_Relay_Input_Ckt Inacti, hex,0,R2109
512172_Horn_Relay_Input_Ckt Inacti, hex,0,R2109
529320_Hazard_Ckt Input No polling, hex,0,R2109
511110_HLSW_Headlamps_Ckt Inactive, hex,0,R2109
511260_HLSW_Park_Ckt Inactive, hex,0,R2109
511410_Hazard_Ckt Inactive, hex,0,R2109
511420_Hazard_Ckt Inactive with RU, hex,0,R2109
511650_Clutch_Input_Ckt  Active, hex,0,R2109
511870_Decklid_Liftglass_Switch_Ck, hex,0,R2109
512020_IP_Release_Switch_Ckt Inact, hex,0,R2109
512170_Horn_Relay_Input_Ckt Inacti, hex,0,R2109
512172_Horn_Relay_Input_Ckt Inacti, hex,0,R2109
529320_Hazard_Ckt Input No polling, hex,0,R2109
504440_Nominal Current, mA,106.6,INT4
513710_Start_Feed_SPL2 High, Dec,32,INT4
513720_Start_Feed_SPL1 redundant p, V,.5902,INT4
527940_RCM_Pwr_Ckt_SPL1 Voltage Of, V,13.41,INT4
528030_OCS_Pwr_Ckt Voltage Off via, V,13.43,INT4
529570_Liftgate_Glass_Decklid_Ajar, Dec,3564,INT4
529590_RUN_START_FDBK Off, Dec,256,INT4
529600_IC4000/IC4100/IC4200 SPI di, hex,-1,INT4
540030_LF_High_Beam_Ckt Voltage on, V,.1971,INT4
540040_LF_High_Beam_Ckt Current on, A,.1780,INT4
540050_RF_High_Beam_Ckt Voltage on, V,.1978,INT4
540060_RF_High_Beam_Ckt Current on, A,-.000,INT4
540070_ESCL_Relay_Ctrl_Ckt Voltage, V,.1106,INT4
540080_Rear_Folding_Seat_Ckt Volta, V,.1222,INT4
540090_Brake_Shift_Interlock_Ckt_S, V,.1105,INT4
540100_White_Lighting_Ckt Voltage , V,.1103,INT4
540110_Backlighting_LED_Ckt Voltag, V,.1105,INT4
540120_ALM_Conditioned_Pwr_Ckt Vol, V,.1106,INT4
540130_Liftgate_Release_Ckt Voltag, V,-.014,INT4
545130_Sleep Current Measure, ?A,10507,INT4
504440_Nominal Current, mA,105.9,INT4
513710_Start_Feed_SPL2 High, Dec,37,INT4
513720_Start_Feed_SPL1 redundant p, V,.5002,INT4
527940_RCM_Pwr_Ckt_SPL1 Voltage Of, V,13.42,INT4
528030_OCS_Pwr_Ckt Voltage Off via, V,13.44,INT4
529130_Load_Shed_Relay_Ctrl_Ckt Vo, V,.0046,INT4
529140_Run_ACC_Relay_Ctrl_Ckt Volt, V,-.494,INT4
529180_DOL_Spare_1 Voltage Off, V,-.494,INT4
529350_Load_Shed_Relay_Ctrl_Ckt Vo, V,-.494,INT4
529360_Run_ACC_Relay_Ctrl_Ckt Volt, V,.0049,INT4
529390_Rear_Seat_Recline_Enable_Ck, V,-.494,INT4
529570_Liftgate_Glass_Decklid_Ajar, Dec,3562,INT4
529590_RUN_START_FDBK Off, Dec,256,INT4
529600_IC4000/IC4100/IC4200 SPI di, hex,-1,INT4
530690_PP_Relay_Reset_Ckt Voltage , V,.0046,INT4
530710_TT_Park_Relay_Ctrl_Ckt Volt, V,.0046,INT4
530730_TT_RR_Stop_Turn_Relay_Ctrl_, V,.0046,INT4
530800_PP_Relay_Set_Ckt Voltage Of, V,.0044,INT4
530820_Horn_Relay_Ctrl_Ckt Voltage, V,.0044,INT4
530840_TT_LR_Stop_Turn_Relay_Ctrl_, V,.0044,INT4
531990_Key_Inhibit_Ckt Voltage Off, V,.0017,INT4
532090_DOL_Spare_2 Voltage Off, V,.0017,INT4
532130_Glovebox_Release_Ckt Voltag, V,3.606,INT4
540030_LF_High_Beam_Ckt Voltage on, V,.1861,INT4
540040_LF_High_Beam_Ckt Current on, A,.1677,INT4
540050_RF_High_Beam_Ckt Voltage on, V,.1871,INT4
540060_RF_High_Beam_Ckt Current on, A,.0000,INT4
540070_ESCL_Relay_Ctrl_Ckt Voltage, V,.0736,INT4
540080_Rear_Folding_Seat_Ckt Volta, V,.1080,INT4
540090_Brake_Shift_Interlock_Ckt_S, V,.0733,INT4
540100_White_Lighting_Ckt Voltage , V,.0960,INT4
540110_Backlighting_LED_Ckt Voltag, V,.0958,INT4
540120_ALM_Conditioned_Pwr_Ckt Vol, V,.0958,INT4
540130_Liftgate_Release_Ckt Voltag, V,-.022,INT4
540420_Horn_Relay_Ctrl_Ckt Voltage, V,.0099,INT4
545130_Sleep Current Measure, ?A,10607,INT4
Pass or Fail for the unit from Viscom,  ,1,INT4
A2C01682700,  ,2,INT4
FINAL, -N,4.079,INT4
Con2_1, PRECE,0,INT4
Con13_3, PRECE,0,INT4
Con13_4, PRECE,0,INT4
Con13_5, PRECE,0,INT4
Con13_6, PRECE,0,INT4
Con13_7, PRECE,0,INT4
Con13_8, PRECE,0,INT4
Con14_1, PRECE,0,INT4
Con14_2, PRECE,0,INT4
Con14_3, PRECE,0,INT4
Con14_4, PRECE,0,INT4
Con2_2, PRECE,0,INT4
Con14_5, PRECE,0,INT4
Con14_6, PRECE,0,INT4
Con14_7, PRECE,0,INT4
Con14_8, PRECE,0,INT4
Con2_3, PRECE,0,INT4
Con2_4, PRECE,0,INT4
Con2_5, PRECE,0,INT4
Con2_6, PRECE,0,INT4
Con2_7, PRECE,0,INT4
Con2_8, PRECE,0,INT4
Con3_1, PRECE,0,INT4
Con3_2, PRECE,0,INT4
Con1_1, PRECE,0,INT4
Con3_3, PRECE,0,INT4
Con3_4, PRECE,0,INT4
Con3_5, PRECE,0,INT4
Con3_6, PRECE,0,INT4
Con3_7, PRECE,0,INT4
Con3_8, PRECE,0,INT4
Con1_2, PRECE,0,INT4
Con5_1, PRECE,0,INT4
Con5_2, PRECE,0,INT4
Con5_3, PRECE,0,INT4
Con5_4, PRECE,0,INT4
Con5_5, PRECE,0,INT4
Con5_6, PRECE,0,INT4
Con1_3, PRECE,0,INT4
Con5_7, PRECE,0,INT4
Con5_8, PRECE,0,INT4
Con6_1, PRECE,0,INT4
Con6_2, PRECE,0,INT4
Con6_3, PRECE,0,INT4
Con6_4, PRECE,0,INT4
Con6_5, PRECE,0,INT4
Con6_6, PRECE,0,INT4
Con6_7, PRECE,0,INT4
Con6_8, PRECE,0,INT4
Con1_4, PRECE,0,INT4
Con7_1, PRECE,0,INT4
Con7_2, PRECE,0,INT4
Con7_3, PRECE,0,INT4
Con7_4, PRECE,0,INT4
Con7_5, PRECE,0,INT4
Con7_6, PRECE,0,INT4
Con7_7, PRECE,0,INT4
Con7_8, PRECE,0,INT4
Con8_1, PRECE,0,INT4
Con8_2, PRECE,0,INT4
Con1_5, PRECE,0,INT4
Con8_3, PRECE,0,INT4
Con8_4, PRECE,0,INT4
Con8_5, PRECE,0,INT4
Con8_6, PRECE,0,INT4
Con8_7, PRECE,0,INT4
Con8_8, PRECE,0,INT4
Con9_1, PRECE,0,INT4
Con9_2, PRECE,0,INT4
Con9_3, PRECE,0,INT4
Con9_4, PRECE,0,INT4
Con1_6, PRECE,0,INT4
Con9_5, PRECE,0,INT4
Con9_6, PRECE,0,INT4
Con9_7, PRECE,0,INT4
Con9_8, PRECE,0,INT4
Con10_1, PRECE,0,INT4
Con10_2, PRECE,0,INT4
Con10_3, PRECE,0,INT4
Con10_4, PRECE,0,INT4
Con10_5, PRECE,0,INT4
Con10_6, PRECE,0,INT4
Con1_7, PRECE,0,INT4
Con10_7, PRECE,0,INT4
Con10_8, PRECE,0,INT4
Con11_1, PRECE,0,INT4
Con11_2, PRECE,0,INT4
Con11_3, PRECE,0,INT4
Con11_4, PRECE,0,INT4
Con11_5, PRECE,0,INT4
Con11_6, PRECE,0,INT4
Con11_7, PRECE,0,INT4
Con11_8, PRECE,0,INT4
Con1_8, PRECE,0,INT4
Con12_1, PRECE,0,INT4
Con12_2, PRECE,0,INT4
Con12_3, PRECE,0,INT4
Con12_4, PRECE,0,INT4
Con12_5, PRECE,0,INT4
Con12_6, PRECE,0,INT4
Con12_7, PRECE,0,INT4
Con12_8, PRECE,0,INT4
Con13_1, PRECE,0,INT4
Con13_2, PRECE,0,INT4
478_[TLE7239]Read_Register1_FdbkCL, Dec,72,V4000
490_[TLE7239]Read_Register1_FdbkCL, Dec,72,V4000
138_[J5-21]RF_Door_Ajar_CktFdbkOff, Dec,0,R212
119_[J5-21]RF_Door_Ajar_CktFdbkOff, Dec,0,R212
106_[J5-1]Liftgate_Switch_CktFdbkO, Dec,1,D213
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
CAUSER,  ,29,D2102
CAUSER,  ,3,D2102
Recog,  ,5,D2102
513650_Liftgate_Glass_Decklid_Ajar, Dec,25,D2102
513650_Liftgate_Glass_Decklid_Ajar, Dec,24,D2102
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
5_MPC560_ContactMCU, P/F,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb, Dec,0,V2002
159_[J5-47]Park_Brake_CktFdbkOn, Dec,1,D205
124_[J2-14]Clutch_Input_CktFdbkOn, Dec,0,T202
92_[J2-52]LinCommICMLX80001(LIN1), Dec,0,V6006
92_[J2-52]LinCommICMLX80001(LIN1), Dec,0,V6006
511650_Clutch_Input_Ckt  Active, hex,0,T2100
511650_Clutch_Input_Ckt  Active, hex,0,T2100
335_VBATT SW3 FDBK Inactive, Dec,484,V700
500930_[J5-46]InactivePulseScan1Fd, Dec,238,V700
473_[J7-11]LF_High_Beam_CktFdbkOn, Dec,126,V700
500930_[J5-46]InactivePulseScan1Fd, Dec,238,V700
102_PulseScan1FdbkOn, Dec,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb, Dec,0,T201
312_FuelPumpGasFdbkOff, Dec,89,V700
464_[J7-11]LF_High_Beam_CktFdbkOn, Dec,0,V4010
473_[J7-11]LF_High_Beam_CktFdbkOn, Dec,0,V4010
111_ADFDBKforBCM_B1_SS.5%FdbkOn, Dec,501,V700
92_ADFDBKforBCM_B1_SS.5%FdbkOn, Dec,491,V700
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
460_[J7-11]LF_High_Beam_CktVoltage, V,-.003,D6112
468_[J7-11]LF_High_Beam_CktVoltage, V,-.002,D6112
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
159_[J5-47]Park_Brake_CktFdbkOn, Dec,14,D212
538740_FR_Cap_Sensor_Data_Ckt  Fdb, Dec,1023,R5107
546150_Write Key Code Card Number, hex,1,R5107
546150_Write Key Code Card Number, hex,1,R5107
538740_FR_Cap_Sensor_Data_Ckt  Fdb, Dec,1023,R5107
245_RunBusPowerFdbkOff, Dec,560,INT1
245_RunBusPowerFdbkOff, Dec,560,INT1
109_ADFDBKforRP1FdbkOn, Dec,517,V700
90_ADFDBKforRP1FdbkOn, Dec,519,V700
541_Check_Demand_Relay_Ckt_Feedbac, Dec,450,V4015
555_Demand Relay Ckt Fdbk On, Dec,425,V4015
129_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
781_Write_Key_Code_Card_Number, P/F,1,D212
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
571_[J3-32]All_Door_UnLock_CktVolt, V,.0219,V5000
585_[J3-32]All_Door_UnLock_CktVolt, V,.0102,V5000
596_[J3-24]Child_Lock_CktVoltageOn, V,.0062,V5000
596_[J3-24]Child_Lock_CktVoltageOn, V,.0060,V5000
538740_FR_Cap_Sensor_Data_Ckt  Fdb, Dec,1023,R5107
Pass or Fail for the unit from Viscom,  ,1,R5107
A2C01682700,  ,2,R5107
110_[J5-14]Decklid_Liftglass_Switc, Dec,1,D212
616_[J4-22][J4-20]DS_RL_CAP_SEN_DA, Dec,9999,R6011
626_[J4-22]DS_RL_CAP_SEN_DATA Freq, Dec,9.999,R6011
CAUSER,  ,29,R2109
511110_HLSW_Headlamps_Ckt Inactive, hex,0,R2109
511260_HLSW_Park_Ckt Inactive, hex,0,R2109
511410_Hazard_Ckt Inactive, hex,0,R2109
511420_Hazard_Ckt Inactive with RU, hex,0,R2109
511570_StartStop2_Ckt Inactive, hex,0,R2109
511650_Clutch_Input_Ckt  Active, hex,0,R2109
