TestDescription,Value,Component
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
CAUSER,2,V700
78_[J5-38]LIN5CRT(TJA1021TK),0,V105
78_[J5-38]LIN5CRT(TJA1021TK),0,V105
CAUSER,29,R123
93_ADFDBKforBCM_B1_SS.1%FdbkOn,0,R123
7_Read_LB2,1,R123
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
CAUSER,42,V2002
CAUSER,29,V2002
781_Write_Key_Code_Card_Number,1,V2002
207_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
207_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
5_MPC560_ContactMCU,0,V2002
CAUSER,29,C4092
CAUSER,48,C4092
Recog,5,C4092
473_[J7-11]LF_High_Beam_CktFdbkOn,51,C4092
473_[J7-11]LF_High_Beam_CktFdbkOn,53,C4092
CAUSER,29,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,29,T6013
V4005,0,T6013
C140,68.84,T6013
C4031,44.81,T6013
C4115,53.42,T6013
V4005,0,T6013
C140,66.63,T6013
C4019,56.97,T6013
C4031,59.53,T6013
C4115,58.35,T6013
79_Upload EOL ToolBox,-1,T6013
79_Upload EOL ToolBox,-1,T6013
141_[J5-40]Double_Lock_Input_CktFd,0,R215
CAUSER,29,R215
141_[J5-40]Double_Lock_Input_CktFd,0,R215
104_[J6-3]Batt_Current_Sense_5V_Fe,0,R726
CAUSER,29,R726
85_[J6-3]Batt_Current_Sense_5V_Fe,0,R726
CAUSER,29,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
7_Read_LB2,1,T201
7_Read_LB2,1,T201
7_Read_LB2,1,T201
CAUSER,29,R275
146_[J5-27]Decklid_Key_Unlock_CktF,0,R275
146_[J5-27]Decklid_Key_Unlock_CktF,0,R275
CAUSER,29,C6084
670_[J4-30][J4-32]Prot Ant 1 P-P V,0,C6084
CAUSER,29,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
CAUSER,29,D202
104_[J2-18]Horn_Relay_Input_CktFdb,0,D202
8_Compare_LBS,1,D202
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D2000
337_[J5-49]ENS_Signal_CktFrequency,9999,D2000
CAUSER,29,D2000
316_[J5-49]ENS_Signal_CktFrequency,9.999,D2000
317_[J5-49]ENS_Signal_CktDC,9.999,D2000
CAUSER,29,D2000
81_[J8] Nominal Current On,313,INT6
43_12V Reverse Protect SHS,11.74,INT6
43_12V Reverse Protect SHS,11.34,INT6
43_12V Reverse Protect SHS,11.33,INT6
CAUSER,29,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
129_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,2,V4000
477_[TLE7239]Read_Std_DiagPattern_,0,V4000
7_Read_LB2,1,V4000
8_Compare_LBS,1,V4000
7_Read_LB2,1,V4000
489_[TLE7239]Read_Std_DiagPattern_,0,V4000
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
CAUSER,2,V4000
477_[TLE7239]Read_Std_DiagPattern_,0,V4000
477_[TLE7239]Read_Std_DiagPattern_,0,V4000
7_Read_LB2,1,V4000
538740_FR_Cap_Sensor_Data_Ckt  Fdb,1023,R5107
538570_FR_Cap_Sensor_Data_Ckt  Fdb,64,R5107
CAUSER,29,R6803
505750_[J4-22]RL_CAP_SENSOR_DATA_C,4747.,R6803
7_Read_LB2,1,R6803
129_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D211
112_[J2-19]Hazard_CktFdbkOff,0,D211
116_[J2-2]HLSW_Park_CktFdbkOff,0,R307
CAUSER,29,R274
126_[J6-14]Hood_Ajar_CktFdbkOff,0,R274
CAUSER,29,D211
112_[J2-19]Hazard_CktFdbkOff,0,D211
CAUSER,29,R307
116_[J2-2]HLSW_Park_CktFdbkOff,0,R307
510990_AI_VBATT_SW1_FDBK On,1,R2311
510990_AI_VBATT_SW1_FDBK On,1,R2311
Pass or Fail for the unit from Viscom,1,R2311
A2C01128300,99,R2311
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
502510_[J2-24]Autolamp_Sensor_Inpu,0,R2002
502520_[J2-24]Autolamp_Sensor_Inpu,0,R2002
110_[J5-14]Decklid_Liftglass_Switc,1,D212
316_[J5-49]ENS_Signal_CktFrequency,9.999,D2000
317_[J5-49]ENS_Signal_CktDC,9.999,D2000
511650_Clutch_Input_Ckt  Active,0,T2100
337_[J5-49]ENS_Signal_CktFrequency,9999,D2000
CAUSER,29,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D203
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
7_Read_LB2,1,D203
505700_DS_RL _CAP_SEN_DATA Off Sta,1023,R6954
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
126_[J5-46]LR_Door_Ajar_CktFdbkOn,1,D207
126_[J5-46]LR_Door_Ajar_CktFdbkOn,1,D207
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
7_Read_LB2,1,D4009
7_Read_LB2,1,D4009
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
93_[J2-25]LinCommICMLX80001(LIN2),0,V700
74_[J2-25]LinCommICMLX80001(LIN2),0,V700
96_[J5-37]LIN4,0,V700
77_[J5-37]LIN4,0,V700
88_Scan_Pulse_FDBK3FdbkOn,0,V700
469_[J7-6]RF_High_Beam_CktVoltage,.0030,D6113
680_Read_LHH_LIMP Fdbk,40960,D6113
479_[J7-6]RF_High_Beam_CktVoltage,-.001,D6113
340_Initialize_SI_registers,240,D6009
340_Initialize_SI_registers,240,D6009
516_[J6-23]PP_Relay_Set_Ckt On,13469,V6001
516_[J6-23]PP_Relay_Set_Ckt On,13469,V6001
107_Scan_Pulse_FDBK3FdbkOn,0,V700
88_Scan_Pulse_FDBK3FdbkOn,0,V700
79_Upload EOL ToolBox,-1,V6006
44_12V Dual 2 SHS,8.096,V6006
44_12V Dual 2 SHS,7.984,V6006
88_Scan_Pulse_FDBK3FdbkOn,0,T101
198_[J2-41]ALM_Dim_Up_CktFdbkOff,0,T101
R2408,116.8,T5202
538810_RL_Cap_Sensor_Data_Ckt  Vol,-.000,T5202
538810_RL_Cap_Sensor_Data_Ckt  Vol,-.001,T5202
145_[J6-14]Hood_Ajar_CktFdbkOff,0,R274
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.25,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
110_[J5-14]Decklid_Liftglass_Switc,1,D212
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
C2009,109.2,T202
C2009,101.6,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
125_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
110_[J5-14]Decklid_Liftglass_Switc,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
340_[J6-29]Fuel_Pump_On_CktVoltage,.0480,T5000
503050_[J6-29]Fuel_Pump_On_CktVolt,.0445,T5000
505750_[J4-22]RL_CAP_SENSOR_DATA_C,4694.,R6803
140_[J5-29]RR_Door_Latch_Fdbk_CktF,0,R290
121_[J5-29]RR_Door_Latch_Fdbk_CktF,0,R290
781_Write_Key_Code_Card_Number,1,R290
140_[J5-29]RR_Door_Latch_Fdbk_CktF,0,R290
121_[J5-29]RR_Door_Latch_Fdbk_CktF,0,R290
469_[J7-6]RF_High_Beam_CktVoltage,12.94,R4069
481_[J7-5]RF_Fog_Lamp_CktVoltage O,.0638,R4069
481_[J7-5]RF_Fog_Lamp_CktVoltage O,.0641,R4069
505720_DS_TRNK_LG_CAP_SEN_DATA Off,34,R6008
112_[J2-19]Hazard_CktFdbkOff,0,D211
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
498_[J6-20]Horn_Relay_Ctrl_CktVolt,13484,D4009
498_[J6-20]Horn_Relay_Ctrl_CktVolt,13482,D4009
112_[J2-19]Hazard_CktFdbkOff,0,D211
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
571_[J3-32]All_Door_UnLock_CktVolt,.0489,V5000
585_[J3-32]All_Door_UnLock_CktVolt,.0638,V5000
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,31,D212
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
129_[J5-14]Decklid_Liftglass_Switc,1,D212
R322_R4,12230,D212
R322_R4,11991,D212
R322_R4,11963,D212
7_Read_LB2,1,D212
59_ENTER EOL MODE AND INITIALIZAT,1,V6006
124_[J2-14]Clutch_Input_CktFdbkOn,0,D203
118_[J5-46]InactivePulseScan1Fdbk,447,T200
118_[J5-46]InactivePulseScan1Fdbk,411,T200
273_Read Run Start Rel Ext FDBK OF,526,V700
273_Read Run Start Rel Ext FDBK OF,529,V700
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
468_[J7-11]LF_High_Beam_CktVoltage,-.001,D6112
468_[J7-11]LF_High_Beam_CktVoltage,-.001,D6112
104_[J2-18]Horn_Relay_Input_CktFdb,0,D211
129_[J5-14]Decklid_Liftglass_Switc,1,D212
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
665_[J4-30][J4-32]Prot Ant 1 P-P V,183.1,C6048
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
250_[J2-37]DIH_AHWU no stimulus,1,R288
J5_1_Y,-1,R288
J5_1_X,-1,R288
J5_14_Y,-1,R288
J5_14_X,-1,R288
125_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
129_[J5-14]Decklid_Liftglass_Switc,1,D212
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
123_[J5-19]RR_Door_Ajar_CktFdbkOff,0,R322
123_[J5-19]RR_Door_Ajar_CktFdbkOff,0,R322
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
505700_DS_RL _CAP_SEN_DATA Off Sta,1023,R6954
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
B2CONA1_19,0,D4009
7_Read_LB2,1,D4009
504_[J6-23]PP_Relay_Set_Ckt On,13497,V6001
516_[J6-23]PP_Relay_Set_Ckt On,13496,V6001
110_[J5-14]Decklid_Liftglass_Switc,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
5_MPC560_ContactMCU,0,V700
5_MPC560_ContactMCU,0,V700
323_[J5-41]Discrete_VSPD_CktFreque,.2809,R4129
397_[J5-26]LR_Turn_Lamp_CktCurrent,1023,R4129
397_[J5-26]LR_Turn_Lamp_CktCurrent,1023,R4129
129_[J5-14]Decklid_Liftglass_Switc,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
PIN 009,0,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
7_Read_LB2,1,D205
8_Compare_LBS,1,D205
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
7_Read_LB2,1,D213
94_[J5-36]LinCommICMLX80001(LIN3),0,L102
75_[J5-36]LinCommICMLX80001(LIN3),0,L102
638_[J4-13][J4-28]Ext Ant1 P-P Vol,19.01,M6010
CAUSER,2,M6010
643_[J4-13][J4-28]Ext Ant1 P-P Vol,13.19,M6010
R733,29674,M6010
R733,20104,M6010
643_[J4-13][J4-28]Ext Ant1 P-P Vol,12.70,M6010
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
757_[J6-7]Parkaid_Sensor_Power_Fro,.0040,D6017
758_[J6-7]Parkaid_Sensor_Power_Fro,.0337,D6017
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
112_[J2-19]Hazard_CktFdbkOff,0,D211
CAUSER,29,C4103
94_[J5-36]LinCommICMLX80001(LIN3),0,C4103
78_[J5-38]LIN5CRT(TJA1021TK),0,C4103
78_[J5-38]LIN5CRT(TJA1021TK),0,C4103
78_[J5-38]LIN5CRT(TJA1021TK),0,C4103
75_[J5-36]LinCommICMLX80001(LIN3),0,C4103
C5041_C5042,380.9,C5042
CAUSER,29,C5042
537050_INT1_Antenna - read transpo,0,C5042
537050_INT1_Antenna - read transpo,0,C5042
121_PulseScan1FdbkOn,0,R348
102_PulseScan1FdbkOn,0,R348
104_[J2-18]Horn_Relay_Input_CktFdb,0,R348
110_[J5-14]Decklid_Liftglass_Switc,1,D212
517360_Stop_Lamps_CHMSL_Ckt Curr F,4095,R3012
517400_LF_Low_Beam_Ckt Curr Fdbk O,4095,R3012
517460_Stop_Lamps_CHMSL_Ckt Curr F,4095,R3012
517480_Park_Lamps_Engine_Ckt Curr ,4095,R3012
517500_LF_Low_Beam_Ckt Curr Fdbk O,4095,R3012
517530_Reverse_Lamp_Ckt Curr Fdbk ,4095,R3012
517560_Park_Lamps_Engine_Ckt Curr ,4095,R3012
517590_Reverse_Lamp_Ckt Curr Fdbk ,4095,R3012
517360_Stop_Lamps_CHMSL_Ckt Curr F,4095,R3012
517400_LF_Low_Beam_Ckt Curr Fdbk O,4095,R3012
517460_Stop_Lamps_CHMSL_Ckt Curr F,4095,R3012
517480_Park_Lamps_Engine_Ckt Curr ,4095,R3012
517500_LF_Low_Beam_Ckt Curr Fdbk O,4095,R3012
517530_Reverse_Lamp_Ckt Curr Fdbk ,4095,R3012
517560_Park_Lamps_Engine_Ckt Curr ,4095,R3012
517590_Reverse_Lamp_Ckt Curr Fdbk ,4095,R3012
129_[J5-14]Decklid_Liftglass_Switc,1,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
538750_FR_Cap_Sensor_Data_Ckt  Fre,0,C5049
538760_FR_Cap_Sensor_Data_Ckt  Wak,0,C5049
538750_FR_Cap_Sensor_Data_Ckt  Fre,0,C5049
538760_FR_Cap_Sensor_Data_Ckt  Wak,0,C5049
11_MS12X_Erase_Flash,0,V801
11_MS12X_Erase_Flash,0,V801
62_[J8][J3-06][J3-10]12V Reverse,4.914,L6001
44_12V Dual 2 SHS,7.349,L6001
93_[J2-25]LinCommICMLX80001(LIN2),0,R702
757_[J6-7]Parkaid_Sensor_Power_Fro,.0070,V801
758_[J6-7]Parkaid_Sensor_Power_Fro,.0393,V801
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
148_[J5-4]Door_Unlock_Switch_CktFd,0,R294
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
316_[J5-49]ENS_Signal_CktFrequency,9.999,D2000
317_[J5-49]ENS_Signal_CktDC,9.999,D2000
781_Write_Key_Code_Card_Number,1,D2000
CAUSER,29,R5107
546150_Write Key Code Card Number,1,R5107
538740_FR_Cap_Sensor_Data_Ckt  Fdb,1023,R5107
502070_[J2-7]Dimmer_Up_Input_CktFd,0,R2073
502070_[J2-7]Dimmer_Up_Input_CktFd,0,R2073
129_[J5-14]Decklid_Liftglass_Switc,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
129_[J5-14]Decklid_Liftglass_Switc,1,D212
489_[TLE7239]Read_Std_DiagPattern_,0,V700
489_[TLE7239]Read_Std_DiagPattern_,0,V700
489_[TLE7239]Read_Std_DiagPattern_,0,V700
CAUSER,29,R2109
511110_HLSW_Headlamps_Ckt Inactive,0,R2109
511260_HLSW_Park_Ckt Inactive,0,R2109
511410_Hazard_Ckt Inactive,0,R2109
511420_Hazard_Ckt Inactive with RU,0,R2109
511650_Clutch_Input_Ckt  Active,0,R2109
511870_Decklid_Liftglass_Switch_Ck,0,R2109
512020_IP_Release_Switch_Ckt Inact,0,R2109
512170_Horn_Relay_Input_Ckt Inacti,0,R2109
512172_Horn_Relay_Input_Ckt Inacti,0,R2109
529320_Hazard_Ckt Input No polling,0,R2109
511110_HLSW_Headlamps_Ckt Inactive,0,R2109
511260_HLSW_Park_Ckt Inactive,0,R2109
511410_Hazard_Ckt Inactive,0,R2109
511420_Hazard_Ckt Inactive with RU,0,R2109
511650_Clutch_Input_Ckt  Active,0,R2109
511870_Decklid_Liftglass_Switch_Ck,0,R2109
512020_IP_Release_Switch_Ckt Inact,0,R2109
512170_Horn_Relay_Input_Ckt Inacti,0,R2109
512172_Horn_Relay_Input_Ckt Inacti,0,R2109
529320_Hazard_Ckt Input No polling,0,R2109
504440_Nominal Current,106.6,INT4
513710_Start_Feed_SPL2 High,32,INT4
513720_Start_Feed_SPL1 redundant p,.5902,INT4
527940_RCM_Pwr_Ckt_SPL1 Voltage Of,13.41,INT4
528030_OCS_Pwr_Ckt Voltage Off via,13.43,INT4
529570_Liftgate_Glass_Decklid_Ajar,3564,INT4
529590_RUN_START_FDBK Off,256,INT4
529600_IC4000/IC4100/IC4200 SPI di,-1,INT4
540030_LF_High_Beam_Ckt Voltage on,.1971,INT4
540040_LF_High_Beam_Ckt Current on,.1780,INT4
540050_RF_High_Beam_Ckt Voltage on,.1978,INT4
540060_RF_High_Beam_Ckt Current on,-.000,INT4
540070_ESCL_Relay_Ctrl_Ckt Voltage,.1106,INT4
540080_Rear_Folding_Seat_Ckt Volta,.1222,INT4
540090_Brake_Shift_Interlock_Ckt_S,.1105,INT4
540100_White_Lighting_Ckt Voltage ,.1103,INT4
540110_Backlighting_LED_Ckt Voltag,.1105,INT4
540120_ALM_Conditioned_Pwr_Ckt Vol,.1106,INT4
540130_Liftgate_Release_Ckt Voltag,-.014,INT4
545130_Sleep Current Measure,10507,INT4
504440_Nominal Current,105.9,INT4
513710_Start_Feed_SPL2 High,37,INT4
513720_Start_Feed_SPL1 redundant p,.5002,INT4
527940_RCM_Pwr_Ckt_SPL1 Voltage Of,13.42,INT4
528030_OCS_Pwr_Ckt Voltage Off via,13.44,INT4
529130_Load_Shed_Relay_Ctrl_Ckt Vo,.0046,INT4
529140_Run_ACC_Relay_Ctrl_Ckt Volt,-.494,INT4
529180_DOL_Spare_1 Voltage Off,-.494,INT4
529350_Load_Shed_Relay_Ctrl_Ckt Vo,-.494,INT4
529360_Run_ACC_Relay_Ctrl_Ckt Volt,.0049,INT4
529390_Rear_Seat_Recline_Enable_Ck,-.494,INT4
529570_Liftgate_Glass_Decklid_Ajar,3562,INT4
529590_RUN_START_FDBK Off,256,INT4
529600_IC4000/IC4100/IC4200 SPI di,-1,INT4
530690_PP_Relay_Reset_Ckt Voltage ,.0046,INT4
530710_TT_Park_Relay_Ctrl_Ckt Volt,.0046,INT4
530730_TT_RR_Stop_Turn_Relay_Ctrl_,.0046,INT4
530800_PP_Relay_Set_Ckt Voltage Of,.0044,INT4
530820_Horn_Relay_Ctrl_Ckt Voltage,.0044,INT4
530840_TT_LR_Stop_Turn_Relay_Ctrl_,.0044,INT4
531990_Key_Inhibit_Ckt Voltage Off,.0017,INT4
532090_DOL_Spare_2 Voltage Off,.0017,INT4
532130_Glovebox_Release_Ckt Voltag,3.606,INT4
540030_LF_High_Beam_Ckt Voltage on,.1861,INT4
540040_LF_High_Beam_Ckt Current on,.1677,INT4
540050_RF_High_Beam_Ckt Voltage on,.1871,INT4
540060_RF_High_Beam_Ckt Current on,.0000,INT4
540070_ESCL_Relay_Ctrl_Ckt Voltage,.0736,INT4
540080_Rear_Folding_Seat_Ckt Volta,.1080,INT4
540090_Brake_Shift_Interlock_Ckt_S,.0733,INT4
540100_White_Lighting_Ckt Voltage ,.0960,INT4
540110_Backlighting_LED_Ckt Voltag,.0958,INT4
540120_ALM_Conditioned_Pwr_Ckt Vol,.0958,INT4
540130_Liftgate_Release_Ckt Voltag,-.022,INT4
540420_Horn_Relay_Ctrl_Ckt Voltage,.0099,INT4
545130_Sleep Current Measure,10607,INT4
Pass or Fail for the unit from Viscom,1,INT4
A2C01682700,2,INT4
FINAL,4.079,INT4
Con2_1,0,INT4
Con13_3,0,INT4
Con13_4,0,INT4
Con13_5,0,INT4
Con13_6,0,INT4
Con13_7,0,INT4
Con13_8,0,INT4
Con14_1,0,INT4
Con14_2,0,INT4
Con14_3,0,INT4
Con14_4,0,INT4
Con2_2,0,INT4
Con14_5,0,INT4
Con14_6,0,INT4
Con14_7,0,INT4
Con14_8,0,INT4
Con2_3,0,INT4
Con2_4,0,INT4
Con2_5,0,INT4
Con2_6,0,INT4
Con2_7,0,INT4
Con2_8,0,INT4
Con3_1,0,INT4
Con3_2,0,INT4
Con1_1,0,INT4
Con3_3,0,INT4
Con3_4,0,INT4
Con3_5,0,INT4
Con3_6,0,INT4
Con3_7,0,INT4
Con3_8,0,INT4
Con1_2,0,INT4
Con5_1,0,INT4
Con5_2,0,INT4
Con5_3,0,INT4
Con5_4,0,INT4
Con5_5,0,INT4
Con5_6,0,INT4
Con1_3,0,INT4
Con5_7,0,INT4
Con5_8,0,INT4
Con6_1,0,INT4
Con6_2,0,INT4
Con6_3,0,INT4
Con6_4,0,INT4
Con6_5,0,INT4
Con6_6,0,INT4
Con6_7,0,INT4
Con6_8,0,INT4
Con1_4,0,INT4
Con7_1,0,INT4
Con7_2,0,INT4
Con7_3,0,INT4
Con7_4,0,INT4
Con7_5,0,INT4
Con7_6,0,INT4
Con7_7,0,INT4
Con7_8,0,INT4
Con8_1,0,INT4
Con8_2,0,INT4
Con1_5,0,INT4
Con8_3,0,INT4
Con8_4,0,INT4
Con8_5,0,INT4
Con8_6,0,INT4
Con8_7,0,INT4
Con8_8,0,INT4
Con9_1,0,INT4
Con9_2,0,INT4
Con9_3,0,INT4
Con9_4,0,INT4
Con1_6,0,INT4
Con9_5,0,INT4
Con9_6,0,INT4
Con9_7,0,INT4
Con9_8,0,INT4
Con10_1,0,INT4
Con10_2,0,INT4
Con10_3,0,INT4
Con10_4,0,INT4
Con10_5,0,INT4
Con10_6,0,INT4
Con1_7,0,INT4
Con10_7,0,INT4
Con10_8,0,INT4
Con11_1,0,INT4
Con11_2,0,INT4
Con11_3,0,INT4
Con11_4,0,INT4
Con11_5,0,INT4
Con11_6,0,INT4
Con11_7,0,INT4
Con11_8,0,INT4
Con1_8,0,INT4
Con12_1,0,INT4
Con12_2,0,INT4
Con12_3,0,INT4
Con12_4,0,INT4
Con12_5,0,INT4
Con12_6,0,INT4
Con12_7,0,INT4
Con12_8,0,INT4
Con13_1,0,INT4
Con13_2,0,INT4
478_[TLE7239]Read_Register1_FdbkCL,72,V4000
490_[TLE7239]Read_Register1_FdbkCL,72,V4000
138_[J5-21]RF_Door_Ajar_CktFdbkOff,0,R212
119_[J5-21]RF_Door_Ajar_CktFdbkOff,0,R212
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D2102
CAUSER,3,D2102
Recog,5,D2102
513650_Liftgate_Glass_Decklid_Ajar,25,D2102
513650_Liftgate_Glass_Decklid_Ajar,24,D2102
110_[J5-14]Decklid_Liftglass_Switc,1,D212
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
5_MPC560_ContactMCU,0,V2002
226_[J5-45]RR_Child_Lock_FB_CktFdb,0,V2002
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
92_[J2-52]LinCommICMLX80001(LIN1),0,V6006
92_[J2-52]LinCommICMLX80001(LIN1),0,V6006
511650_Clutch_Input_Ckt  Active,0,T2100
511650_Clutch_Input_Ckt  Active,0,T2100
335_VBATT SW3 FDBK Inactive,484,V700
500930_[J5-46]InactivePulseScan1Fd,238,V700
473_[J7-11]LF_High_Beam_CktFdbkOn,126,V700
500930_[J5-46]InactivePulseScan1Fd,238,V700
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
312_FuelPumpGasFdbkOff,89,V700
464_[J7-11]LF_High_Beam_CktFdbkOn,0,V4010
473_[J7-11]LF_High_Beam_CktFdbkOn,0,V4010
111_ADFDBKforBCM_B1_SS.5%FdbkOn,501,V700
92_ADFDBKforBCM_B1_SS.5%FdbkOn,491,V700
110_[J5-14]Decklid_Liftglass_Switc,1,D212
460_[J7-11]LF_High_Beam_CktVoltage,-.003,D6112
468_[J7-11]LF_High_Beam_CktVoltage,-.002,D6112
110_[J5-14]Decklid_Liftglass_Switc,1,D212
159_[J5-47]Park_Brake_CktFdbkOn,14,D212
538740_FR_Cap_Sensor_Data_Ckt  Fdb,1023,R5107
546150_Write Key Code Card Number,1,R5107
546150_Write Key Code Card Number,1,R5107
538740_FR_Cap_Sensor_Data_Ckt  Fdb,1023,R5107
245_RunBusPowerFdbkOff,560,INT1
245_RunBusPowerFdbkOff,560,INT1
109_ADFDBKforRP1FdbkOn,517,V700
90_ADFDBKforRP1FdbkOn,519,V700
541_Check_Demand_Relay_Ckt_Feedbac,450,V4015
555_Demand Relay Ckt Fdbk On,425,V4015
129_[J5-14]Decklid_Liftglass_Switc,1,D212
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
571_[J3-32]All_Door_UnLock_CktVolt,.0219,V5000
585_[J3-32]All_Door_UnLock_CktVolt,.0102,V5000
596_[J3-24]Child_Lock_CktVoltageOn,.0062,V5000
596_[J3-24]Child_Lock_CktVoltageOn,.0060,V5000
538740_FR_Cap_Sensor_Data_Ckt  Fdb,1023,R5107
Pass or Fail for the unit from Viscom,1,R5107
A2C01682700,2,R5107
110_[J5-14]Decklid_Liftglass_Switc,1,D212
616_[J4-22][J4-20]DS_RL_CAP_SEN_DA,9999,R6011
626_[J4-22]DS_RL_CAP_SEN_DATA Freq,9.999,R6011
CAUSER,29,R2109
511110_HLSW_Headlamps_Ckt Inactive,0,R2109
511260_HLSW_Park_Ckt Inactive,0,R2109
511410_Hazard_Ckt Inactive,0,R2109
